股票名,股票代码,所属行业,题材关键词,公司信息,主营构成,总市值,市盈率估值,市净率估值," 市销率估值",市现率估值,综合估值状态,最新一期 ROE,价格,估算合理价格,当前价格是否合理,合理价格与当时价的价格差,预约财报披露日期,历史波动率 (%),净利润增长率 (%),营收增长率 (%),最新负债率 (%),最新股息率 (%),净利润 3 年复合增长率 (%),营收 3 年复合增长率 (%),上市以来年化收益率 (%),年化波动率 (%),预测净利润同比增长 (%),预测营收同比增长 (%),机构评级,每股收益预测,上市时间
景津环保,603279.SH,专用设备,通用设备制造业;客户资源优势;技术研发优势;加工工艺;自愿锁定股份;股利分配;稳定股价措施,"公司简介:
    景津环保股份有限公司创立于1988年,位于素有“九达天衢、神京门户”之称的国家园林城市——山东德州,是一家集过滤成套装备制造、过滤技术整体方案解决、环保工程总承包及运营于一体的综合环保服务商,中国环保产业协会副会长单位,压滤机国家标准主起草人,产品远销123个国家和地区。取得了马德里国际商标注册保护。董事长姜桂廷获得“全国五一劳动奖章”、“中国十大杰出企业家”等荣誉。
    景津自主研发的过滤成套装备包括压滤机、振动离心机、搅拌机、输送机、自动加药机、双驱浓密机、刮泥机、滤饼破碎机等,广泛应用于环保、化工、食品、制药、冶金、选煤、尾矿等固液分离领域。新研制的“太阳能污泥一体干燥系统”,能将污泥含水率干化至20%,以节能、环保、低碳的方式实现污泥的高效资源化利用。景津技术研发实力雄厚,建有技术中心及固液分离实验室,先后承担国家重点新产品计划、国家火炬计划、国家水体污染控制与治理科技重大专项等科研项目,取得授权有效专利128项,其中国际PCT专利8项,近三年推出新产品166项。
主营业务:
    主要从事各式压滤机整机及配套设备、配件的生产和销售,致力于为固液提纯、分离提供专业的成套解决方案
所属概念:
    节能环保,上证380,沪股通","按行业:
    通用设备制造业: 99.77%
    其他(补充): 0.23%
按产品:
    压滤机整机: 81.13%
    配件: 16.12%
    其他设备: 2.51%
    其他(补充): 0.23%
按地区:
    国内销售: 95.21%
    国外销售: 4.56%
    其他(补充): 0.23%",101.46 亿,估值较低,估值较高,估值较高,估值中等,估值中等,18.22,24.63,--,--,--,2021-04-29,0.43935490388653464,24.597261293226,0.5567681009,43.3639069228,2.842062525376,35.7024980053,14.6266095999,46.4868,12.8625,17.9784054414,18.482337618,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.474286 预测市盈率:16.709614
2022 | 预测每股收益:1.798571 预测市盈率:13.690253
2023 | 预测每股收益:2.135000 预测市盈率:11.556849",2019-07-29
宝新能源,000690.SZ,电力,新能源电力;核心竞争力;新能源--资源综合利用发电;重点筹划项目;节能环保概念;梅州建筑行业龙头;实际控制人--叶华能;与中广核风电签署海上风电联合开发合作意向书;携手中广核风电开发汕尾海上风电场;汕尾后湖海上风电场项目获核准,"公司简介:
    广东宝丽华新能源股份有限公司1997年在深圳证券交易所上市(证券简称:宝新能源000690),以“新能源电力+新金融控股”为双核心业务。旗下有7家全资子公司:广东宝丽华电力有限公司——梅县荷树园电厂、广东陆丰宝丽华新能源电力有限公司——陆丰甲湖湾电厂、陆丰宝丽华风能开发有限公司、广东宝新资产管理有限公司、宝新融资租赁有限公司、广东信用宝征信管理有限公司、广东宝丽华建设工程有限公司。全面建成:梅县荷树园电厂总装机容量147万千瓦,电厂30万千瓦煤矸石CFB发电机组及资源循环利用工程项目获得“广东省科学技术特等奖”、“南方低碳标杆企业”、“2009年度亚洲电力奖——最佳环保电厂奖”称号。在中国资本市场一直以绩优、成长、蓝筹的良好形象,广受市场认同。先后入选上证300、深证100等多个重要指数样本股,连年名列“中国上市公司综合绩效百强榜”、“上市公司整体价值百强排行榜”、“最佳成长上市公司50强”、“中国新能源行业最具影响力品牌”,多次获得“广东十大和谐企业”、“广东省模范集体”、“广东省先进集体”、“中国上市公司董事会金圆桌奖——十佳董事会”、“中国上市公司董事会金圆桌奖——董事会建设特别贡献奖”等荣誉称号。
主营业务:
    新能源发电,金融投资
所属概念:
    新能源,创投,参股券商,深成500,预盈预增,风能,融资融券,海洋经济,中证500,证金持股,深股通,富时罗素,标准普尔","按行业:
    电力: 99.60%
    发电副产品: 0.40%
    融资租赁: 0.00%
按产品:
    电力: 99.60%
    发电副产品: 0.40%
    融资租赁: 0.00%
按地区:
    广东省: 100.00%
    山西省: 0.00%",125.11 亿,估值较低,估值较低,估值较低,估值较低,估值较低,17.89,5.75,--,--,--,2021-04-30,0.4144264323923625,105.830022804477,27.2418181416,43.5296575461,5.217391304348,160.2443000112,41.7291164378,15.2068,6.8765,2.7030596608,2.2672514182,"3月内:
6月内:买入
1年内:买入","2021 | 预测每股收益:0.860000 预测市盈率:6.701315
2022 | 预测每股收益:0.900000 预测市盈率:6.406224
2023 | 预测每股收益:0.000000 预测市盈率:0.000000",1997-01-28
雷赛智能,002979.SZ,通用设备,工业自动控制系统装置制造;完整的产品解决方案;品牌优势;严格的质量控制;自愿锁定股份;上海智能制造基地建设项目;研发中心技术升级项目;营销网络与服务平台建设项目;股利分配;稳定股价措施,"公司简介:
    深圳市雷赛智能控制股份有限公司是智能装备运动控制领域的知名品牌和行业领军企业。自1997年成立以来,雷赛一直以“聚焦客户关注的挑战和压力,提供有竞争力的运动控制产品与方案,持续为客户创造更大价值!”为企业使命,以“成就客户、共创共赢”为企业经营理念,聚焦于伺服电机驱动系统、步进电机驱动系统、运动控制卡、运动控制器等系列精品的研发、生产、销售和服务,并通过锲而不舍、点点滴滴的持续努力来成就客户梦想和实现共同成长。经过二十年如一日的产品创新、市场开拓和应用服务,雷赛已经成为产销规模先进的运动控制产品和解决方案提供商。由于雷赛产品兼具稳定可靠和性能优越的双重优势,在电子、机器人、机床、激光、医疗、纺织等行业获得上万家优秀设备厂家的长期使用,且远销美国、德国、印度等60多个国家。
主营业务:
    主要从事运动控制核心部件控制器、驱动器、电机的研发、生产和销售,以及相关行业应用系统的研究与开发,为客户提供完整的运动控制系列产品及解决方案
所属概念:
    深圳特区,预盈预增,智能机器,人工智能,口罩","按行业:
    工业自动化: 99.93%
    其他(补充): 0.07%
按产品:
    步进系统类: 52.28%
    伺服系统类: 22.58%
    控制技术类: 15.65%
    其他: 9.48%
按地区:
    华南: 59.20%
    华东: 23.73%
    华北: 13.54%
    海外: 3.53%",91.15 亿,估值中等,估值中等,估值中等,估值较低,估值较低,17.73,43.82,--,--,--,2021-04-29,0.6219713514690768,63.551842647993,42.692244089,18.9307046963,1.141031492469,23.4978805787,20.9071148343,336.9576,15.6398,52.5196947834,37.0430518386,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.361429 预测市盈率:33.955795
2022 | 预测每股收益:1.835714 预测市盈率:24.791405
2023 | 预测每股收益:2.546667 预测市盈率:17.931281",2020-04-08
浙江鼎力,603338.SH,专用设备,专用设备制造业;技术创新优势;定制化优势;品牌化优势,"公司简介:
    浙江鼎力机械股份有限公司始建于2005年,总部位于浙江德清,是一家致力于各类智能高空作业平台研发、制造、销售和服务的高端制造企业。公司以高新技术、高端装备、高成长性著称,是国内高空作业平台领先企业,本行业沪市A股上市企业(股票代码:603338)。企业发展,科技先行。浙江鼎力汇聚了一大批全球科技研发精英和工匠级人才,创建欧洲研发中心和省级企业研究院。获得专利200余项,其中发明专利近60项,计算机软件著作权登记证2项,研发出全球首款专用于智能高空作业平台的电气控制系统,是浙江省专利示范企业,国家标准和行业标准制定单位。公司凭借现代化生产设备,打造出节能高效、性能卓越的六大系列80多个规格的高空作业平台,并为客户提供更加安全高效的高空作业系统解决方案,实现了专业化、智能化、系列化、品牌化发展。公司产品广泛应用于建筑业、商业、工业等领域,并延伸至国防军工领域,取得相关认证证书。公司产品通过德国TUV莱茵公司的欧洲CE安全认证,美国ANSI认证,澳大利亚AS/NZS1418认证,俄罗斯CU-TR认证,韩国KC认证,远销欧洲、美洲、亚洲、非洲等80多个国家和地区。
主营业务:
    公司主要从事高空作业机械和工业车辆的研发、生产和销售。
所属概念:
    预盈预增,融资融券,中证500,上证380,沪股通,2025规划,工业4.0,军民融合,MSCI中国,富时罗素,标准普尔","按行业:
    工业: 94.46%
    其他(补充): 5.54%
按产品:
    剪叉式高空作业平台: 76.95%
    臂式高空作业平台: 12.18%
    其他(补充): 5.54%
    桅柱式高空作业平台: 5.33%
按地区:
    中国境内: 59.62%
    中国境外: 34.84%
    其他(补充): 5.54%",437.18 亿,估值中等,估值较高,估值中等,估值较低,估值中等,17.64,90.05,--,--,--,2021-04-29,0.49580761036551807,39.817526918068,71.1556021935,34.9489038049,0.277623542591,58.3571240108,50.9512403664,67.3364,8.0428,30.7211612047,45.5251161226,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:1.909000 预测市盈率:48.184110
2021 | 预测每股收益:2.680000 预测市盈率:34.290873
2022 | 预测每股收益:3.443158 预测市盈率:26.644522",2015-03-25
双箭股份,002381.SZ,橡胶制品,橡胶和塑料制品行业;品牌优势;研发优势;产业链优势;国内输送带龙头;管状输送带;性价比优势;技术+研发优势;全资子公司参股金浦医疗;子公司参与股权投资基金;拟斥资1亿至2亿元回购公司股份;回购公司股份比例达到总股本3%,"公司简介:
    浙江双箭橡胶股份有限公司专业生产“双箭”牌橡胶输送带系列产品,具有年产各类橡胶输送带5000多万平方米。输送带的主要品种有普通型、强力型(尼龙、聚酯、钢丝绳芯),耐酸碱、耐高温、难燃、耐油、耐热、防撕裂、抗穿刺、食品、花纹、管状、挡边、阻燃、耐寒、节能型、芳纶、PVC、PVG输送带、MMT668煤矿井下用钢丝绳输送带等。公司具有一流的生产、检测设备,完善的质量保证体系。已通过IS09001质量体系、ISO14001环境体系、GB/T28001职业健康安全管理体系认证。测量管理体系和国家标准化良好行为企业认证。广泛用于冶金、煤炭、化工、建材、电力、轻工、粮食、矿山、港口等行业,畅销全国,并远销五大洲,年外销量达30%以上。公司在同行中享有较高声誉,被浙江省科技厅等部门认定为“高新技术企业”。公司为中国橡胶工业协会副会长单位,输送带产品国家标准、行业标准的主要起草单位之一。连续七年列入中国输送带行业十强榜首。
主营业务:
    输送带的生产和销售业务
所属概念:
    长江三角,养老概念","按行业:
    胶管胶带: 98.15%
    其他: 1.85%
按产品:
    输送带: 97.17%
    养老服务: 1.24%
    天然橡胶: 0.66%
    其他: 0.94%
按地区:
    内销: 80.49%
    外销: 19.51%",42.35 亿,估值较低,估值中等,估值中等,估值较低,估值较低,16.84,10.29,--,--,--,2021-04-29,0.45101629018120637,26.862181283346,18.7423215038,25.4020345161,4.85908649174,41.0017376253,16.7579698791,5.2721,7.2762,12.7605630707,19.5189460617,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.863333 预测市盈率:11.907437
2022 | 预测每股收益:1.026667 预测市盈率:10.027810
2023 | 预测每股收益:1.216667 预测市盈率:8.475808",2010-04-02
穗恒运A,000531.SZ,电力,电力行业;区位优势;环保题材;拟不超2.55亿元参与竞拍广州科云100%股权;拟与雄韬股份等合作发展氢燃料电池业务,"公司简介:
    广州恒运企业集团股份有限公司(股票简称穗恒运A,股票代码000531),是广州市国有控股的重点电力生产和集中供热的上市企业,位于穗港澳黄金三角洲中心的国家级开发区——广州经济技术开发区,滨临古代海上丝绸之路出海通道之珠江。随着广州开发区这一南粤经济排头兵的高速发展,穗恒运经过30年的辛勤耕耘,已从一家小型火电厂成长为拥有多家参、控股企业的大型企业集团,业务范围涉及发电、供热、新能源、金融、房地产等产业。
    作为广州市首批上市公司之一,穗恒运多年来严格按照法律法规要求,以维护投资者根本利益为原则,建立健全了完善的公司法人治理结构,坚持""以人为本""的经营理念,不断增强核心竞争力,经营规范,主业突出,资产质量优良,赢利模式清晰。
    穗恒运年发电能力为80亿千瓦时,供热能力1200吨/小时。2017年末,集团总资产达91.98亿元,多年来在全国电力板块的上市企业中表现突出,在广州市的上市企业中业绩也名列前茅。到 2017年底,公司共有在职职工1227人,其中本科及以上学历517人,大专学历340人。公司先后被授予""全国电力行业优秀企业""、""电力行业规范管理先进单位""、 ""广东省最具公众形象企业""、""广东省文明单位"" 、""广东省自主创新示范企业""、""广州市先进集体""、""广州市诚信建设示范单位""、""广州企业文化建设先进单位""、""广州市劳动关系和谐企业""等荣誉称号。
    穗恒运坚持“求发展、负责任、作贡献”的发展观,十分注重经济效益和社会效益的兼顾协调,精心打造""绿色电力""品牌,率先在广东省实现全部燃煤机组的烟气脱硫,并成为国家和省级环保工程示范单位。目前公司机组均达到国家规定的超洁净排放要求,公司先后被授予""广东省节能减排先进单位""、""广东省环保工程建设示范单位""、""广州市羊城公德公益之星""中的""环保惜物之星""等光荣称号。连续9年被广东省环保厅评为环境诚信企业(绿牌)。
展望未来,穗恒运将继续贯彻实施""立足主业,择业发展,科学发展""战略,大力培育和弘扬""和睦、和衷、和谐""的企业文化和""忠诚、责任、执行、感恩、奉献、创新""的核心价值观,实现实业与金融产业并重,成为立足广州开发区、面向华南的综合能源供应商和拥有金融投资平台的实力强劲、管理规范、具有较强市场竞争力的企业,为广东省经济建设继续奉献光和热。
    恒心永远。恒运人所蕴涵的勃勃生机和源源动力,将在新一轮创业过程中,展现出更富有时代特色、永不停顿的豪迈激情!一个""阳光、安全、绿色、高效、廉洁、幸福的恒运事业家园"", 将以良好的经济效益和社会效益回报股东、回报投资者、回馈社会。
主营业务:
    电力、热力的生产和销售。
所属概念:
    太阳能,融资融券,燃料电池,氢能源,碳交易","按行业:
    电、热业务: 76.60%
    房地产业务: 17.21%
    其他业务: 6.20%
按产品:
    电力: 56.89%
    蒸汽: 19.71%
    房地产: 17.21%
    环保及其他: 6.20%
按地区:
    广东地区: 100.00%",54.60 亿,估值较低,估值较低,估值中等,估值中等,估值较低,16.8,7.97,--,--,--,2021-04-30,0.46430979717329435,89.814872988887,7.229374311,56.7490808456,3.136762860728,61.7678965311,5.2967270396,10.892,7.1352,0,0,,,1994-01-06
中联重科,000157.SZ,专用设备,工程机械行业;战略决策优势;行业整合的先行优势;产品技术优势;行业龙头;技术优势;与人工智能技术公司签署合作协议;与长沙市政府签署《中联智慧产业城项目框架合作协议》;已耗资12.7亿元回购3%公司股份,"公司简介:
    中联重科股份有限公司创立于1992年,主要从事工程机械、农业机械等高新技术装备的研发制造。20多年的创新发展,使中联重科逐步成长为一家全球化企业,主导产品覆盖9大类别、49个产品系列,800多个品种。中联重科先后实现深港两地上市,成为业内A+H股上市公司。目前,公司积极推进战略转型,打造集工程机械、农业机械和金融服务多位一体的高端装备制造企业。中联重科的生产制造基地分布于全球各地,在国内形成了中联科技园、中联麓谷工业园、中联望城工业园、中联泉塘工业园、中联灌溪工业园、中联汉寿工业园、中联德山工业园、中联津市工业园、中联沅江工业园、中联渭南工业园、中联华阴(华山)工业园、中联上海(松江)工业园、中联芜湖工业园、中联开封工业园等十四大园区,在海外拥有意大利CIFA工业园、德国M-TEC工业园、印度工业园、巴西工业园、中白工业园,并将新建土耳其工厂、沙特工厂。公司是国际标准化组织ISO/TC96起重机技术委员会秘书处承担单位,流动式起重机、塔式起重机分技术委员会的国内归口单位,代表中国参与国际标准的制修订;制修订国家/行业标准300余项,推动行业的技术进步。中联重科被科技部、工信部、财政部等国家部委认定为全国首批国家创新型企业、国家技术创新示范企业、国家工业产品生态设计试点企业、国家知识产权示范企业。获得我国混凝土机械行业国家科技进步奖。2014年“超大型塔式起重机关键技术及应用”技术被评为“国家科技进步奖二等奖”。
主营业务:
    公司属于工程机械制造业,公司目前主营工程机械产品及配件的开发、制造和销售,主要生产拖式混凝土输送泵、混凝土泵车等混凝土机械,全液压振动压路机、沥青摊铺机等路面施工机械,道路清扫车等市政环卫机械,塔式起重机,汽车起重机等起重机械。
所属概念:
    节能环保,AH股,HS300_,参股银行,深成500,预盈预增,融资融券,一带一路,证金持股,人工智能,深股通,MSCI中国,深证100R,工业互联,乡村振兴,富时罗素,标准普尔","按行业:
    工程机械: 94.28%
    农业机械: 4.06%
    金融服务: 1.66%
按产品:
    起重机械: 53.60%
    混凝土机械: 29.16%
    其他机械和产品: 7.43%
    其他: 9.82%
按地区:
    境内收入: 94.11%
    境外收入: 5.89%",1025.26 亿,估值中等,估值中等,估值中等,估值中等,估值中等,16.7,11.83,--,--,--,2021-04-30,0.42166196249331905,66.550248754747,50.3413947625,58.8157918702,2.704987320372,76.1559704762,40.9061940295,21.8422,6.5111,31.6545148314,22.2576111321,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.127879 预测市盈率:10.218274
2022 | 预测每股收益:1.309394 预测市盈率:8.812649
2023 | 预测每股收益:1.478000 预测市盈率:7.693541",2000-10-12
龙马环卫,603686.SH,专用设备,环卫装备行业;专业化经营与快速灵活的优势;市场地位与品牌优势;研发及新产品优势;市场占有率新高;海口市龙华区环卫一体化PPP项目;中标约9亿元环卫项目;中标两项环卫项目;签署石狮市环卫一体化PPP项目合同;中标13.42亿元环卫一体化项目;中标14亿元环卫外包项目,"公司简介:
    福建龙马环卫装备股份有限公司(股票代码:603686)是环卫清洁装备、垃圾收转装备等环卫装备的研发、生产与销售,以及环卫产业运营服务的环境卫生整体解决方案提供商。公司凭借沉淀多年的强劲实力,2015年成功登陆上交所主板,成为国内专注于环卫领域的上市公司。  多年来公司坚持专业化经营战略,专注于国家环境卫生事业,在环卫装备领域不断探索创新,已形成环卫清洁、垃圾收转和新能源环卫装备三大核心产品体系,30多个系列产品,可广泛满足城乡环卫清洁和垃圾收转等环卫作业需求。产品围绕“节能、环保、智能化”的技术理念及“平台化、模块化、系列化”的设计理念,集成了机电一体化技术、液压技术、智能控制及自动化技术、互联性及物联网等多种先进技术,保证了产品的技术先进性和市场竞争力。
主营业务:
    环卫清洁装备、垃圾收转装备等环卫装备的研发、生产与销售,以及环卫产业运营服务。
所属概念:
    节能环保,QFII重仓,预盈预增,上证380,沪股通,PPP模式,新能源车,富时罗素,垃圾分类,标准普尔","按行业:
    环卫产业服务: 55.61%
    环卫装备制造业: 43.65%
    其他(补充): 0.74%
按产品:
    环卫产业服务: 55.61%
    环卫清洁装备: 23.72%
    垃圾收转装备: 19.19%
    其他: 1.48%
按地区:
    华东: 37.62%
    华南: 20.43%
    华北: 14.63%
    其他: 27.32%",66.30 亿,估值较低,估值较低,估值较低,估值中等,估值较低,16.43,15.95,--,--,--,2021-04-30,0.488173922016948,63.712872714263,28.7476785744,43.253085642,2.382445141066,19.3974900294,20.8402550582,20.7164,9.4011,17.8512349401,22.5954232561,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.235625 预测市盈率:12.709205
2022 | 预测每股收益:1.488125 预测市盈率:10.546953
2023 | 预测每股收益:1.770625 预测市盈率:8.842051",2015-01-26
宁夏建材,600449.SH,水泥,水泥行业;产能布局、质量、品牌、资源;公司行业地位;品牌优势;拟收购嘉华固井50%股权 拓展特种水泥产品;公司实控人中国建材集团成为国有资本投资公司试点企业,"公司简介:
    宁夏建材集团股份有限公司是国家重点扶持的60户水泥企业之一,西部地区具有较强竞争力的建材工业企业。2003年8月公司股票在上海证券交易所上市交易(股票简称“宁夏建材”,股票代码:600449)。公司注册资本47818.10万元,公司总部位于宁夏回族自治区银川市;主要经营水泥制造、销售,水泥制品、水泥熟料的制造与销售,混凝土骨料的制造与销售等。现拥有水泥生产企业12家、商混企业4家,固井材料1家,物联公司1家,分布在宁夏、甘肃、内蒙古等省区,年水泥产能2100万吨,商品混凝土年产能1020万方,骨料产能880万吨。截止2018年末,公司总资产71亿元,净资产52亿元。2018年公司实现营业收入41.73亿元,利润总额5.68亿元,归属于母公司的净利润4.28亿元.
    公司主要产品有“赛马”牌、“青铜峡”牌、“双鹿”牌、“宁中宁”牌、“草原”牌普通硅酸盐、硅酸盐水泥及道路硅酸盐水泥、中低热水泥、油井水泥、大坝水泥等,“赛马”商标为中国驰名商标、“青铜峡”、“六盘山”商标为宁夏著名商标。公司始终坚持“始于需求,终于满意”的质量方针,通过质量管理体系、环境管理体系和职业安全健康体系认证。水泥和混凝土产品广泛应用于铁路、高速公路、水利、机场、桥梁等国家和地方重点工程建设项目,深受用户好评。
    公司先后荣获“全国五一劳动奖状”、“全国绿化先进单位”、“全国模范劳动关系和谐企业”、“国家环境保护先进企业”、“全国循环经济工作先进企业”、“全国建材行业“调结构、练内功、增效益”百家优秀企业”、“全国安全生产月活动先进单位”、“全国质量百佳企业”、“全国和自治区“守合同、重信用”单位”、“自治区先进企业”、“自治区十佳企业”、“2014年度最受投资者尊重的上市公司评选入围奖”、“2015年度最受投资者尊重的上市公司评选入围奖”、“2016年度监事会积极进取50强”、国务院国资委授予“先进基层党组织”等荣誉。
主营业务:
    水泥及水泥熟料、商品混凝土和骨料的制造与销售
所属概念:
    融资融券,国企改革,一带一路","按行业:
    建材行业: 95.08%
    其他(补充): 4.44%
    物流行业: 0.48%
按产品:
    水泥及熟料: 79.82%
    商品混凝土: 12.15%
    其他(补充): 4.44%
    其他: 3.59%
按地区:
    自治区外: 56.38%
    自治区内: 39.18%
    其他(补充): 4.44%",63.65 亿,估值较低,估值较低,估值较低,估值较低,估值较低,16.35,13.31,--,--,--,2021-04-29,0.4808844250965491,25.486153915138,6.6633722727,19.361875445,5.033809166041,41.6526002058,4.4613679426,11.2132,6.7202,16.4914700119,10.3971218368,"3月内:买入
6月内:买入
1年内:增持","2021 | 预测每股收益:2.353333 预测市盈率:5.662530
2022 | 预测每股收益:2.666667 预测市盈率:4.993140
2023 | 预测每股收益:2.886667 预测市盈率:4.607025",2003-08-29
鲁阳节能,002088.SZ,耐火材料,陶瓷行业;产能及区位优势;品种优势;市场、品牌优势;节能材料新技术研发;节能新材料概念;多晶莫来石纤维,"公司简介:
    山东鲁阳节能材料股份有限公司建于1984年,2006年11月在深圳证券交易所上市(股票代码:鲁阳节能,002088),历经30余年的发展,公司成为集陶瓷纤维、硅酸镁纤维、可溶纤维、氧化铝纤维、玄武岩纤维(岩棉)、纳米材料、轻质耐火砖等新型节能材料研发、制造、销售于一体的世界知名企业,是专业的的无机纤维材料生产商,全球耐火、隔热、防火、保温领域系统供应商,能源管理领域的领先者,节能环保材料领导者。公司设有国家认定企业技术中心、国家级实验室、博士后科研工作站、山东省陶瓷纤维工程技术研究中心,拥有124项专利、54项技术成果,是国家863计划的协作单位,自主研发的陶瓷纤维建筑隔热板、陶瓷纤维复合模块等四项产品被认定为“国家重点新产品”。公司具备年产各类陶瓷纤维制品30万吨、玄武岩纤维制品10万吨的生产能力,连续多年在国内同业中保持着规模、技术、品种与效益领先地位,并跻身世界陶瓷纤维业前列。产品畅销全国,远销海外数十多个国家和地区,广泛应用于重化工耐火隔热、长输管网保温隔热、建筑防火保温、船舶防火,家用电器防火隔热,高温绝热等领域。“以卓越的节能产品助推人与自然和谐发展”是鲁阳节能始终不渝的历史使命,“成为在节能环保领域具有核心竞争优势的行业领导者”是鲁阳人达成的共识,鲁阳节能将坚定不移地向着建设“百亿鲁阳、百年鲁阳、环保鲁阳、世界鲁阳” 既定目标阔步前进。
主营业务:
    从事陶瓷纤维、玄武岩纤维、轻质莫来石砖等节能环保材料的研发、生产、销售及施工业务。
所属概念:
    新材料,证金持股","按行业:
    工业: 99.44%
    其他(补充): 0.56%
按产品:
    陶瓷纤维制品: 84.13%
    玄武岩产品: 15.30%
    其他(补充): 0.56%
按地区:
    国内: 94.90%
    国外: 5.10%",78.34 亿,估值较低,估值较高,估值中等,估值中等,估值中等,16,21.66,--,--,--,2021-04-29,0.4391794155750579,8.819731882852,8.3205517943,28.0467799945,3.924284395199,20.0985742984,13.3772825251,15.6581,8.0466,29.3774397344,23.399498198,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.325000 预测市盈率:16.353363
2022 | 预测每股收益:1.655000 预测市盈率:13.065508
2023 | 预测每股收益:2.110000 预测市盈率:10.267468",2006-11-30
成都银行,601838.SH,银行,银行业;极具发展潜力的区位优势;不断增强的综合化经营能力;专业化的中小企业服务体系;新兴业务;四川名山锦程村镇银行;特色金融业务;江苏宝应锦程村镇银行;西藏银行;自愿锁定股份;股利分配;稳定股价措施,"公司简介:
    成都银行股份有限公司成立于1996年12月,是一家以国有股本为主、股权多元化的地方性股份制商业银行,引入马来西亚丰隆银行作为境外战略投资合作伙伴。2018年1月31日,成都银行在上海证券交易所挂牌上市,成为四川省一家上市银行、全国第8家A股上市城市商业银行。目前,成都银行注册资金36.12亿元,在岗员工5600余名,下辖重庆、西安、广安、资阳、眉山、内江、南充、宜宾、乐山、德阳、阿坝、泸州、天府新区13家分行和31家直属支行(部)、190余家营业网点,发起设立国内首批、中西部一家消费金融公司——四川锦程消费金融有限责任公司以及江苏宝应锦程和四川名山锦程村镇银行,并入股西藏银行。
    成都银行秉承“服务地方经济,服务小微企业,服务城乡居民”的市场定位,积极探索差异化、特色化发展路径,形成了自身独特的业务特色和竞争优势,综合实力位居西部城商行前列,部分经营指标达到国内先进银行水平。截至2019年末,成都银行总资产5583.86亿元,各项存款3867.19亿元,各项贷款2318.98亿元。在2019年英国《银行家》公布的最新排名中,成都银行居全球前1000家商业银行第269位。
成都银行主动将自身发展融入地方发展大局,积极对接中央和地方重大发展战略,借助成都在西部地区的核心地位和辐射作用,结合川陕渝三地共同的产业优势,积极做好金融支持和资金要素保障,加大对地方重大产业、城乡基础设施建设和民生工程的支持力度,为区域经济的健康快速发展、城乡一体化的有序推进作出了积极贡献。
    成都银行致力于为广大小微企业客户提供优质高效的金融服务,利用自身优势,加强产品创新和“本土化”改造,开发了一批“特色化、标准化、本土化”产品。目前,旗下“财富金翼”小微企业融资品牌包括“壮大贷”、“成长贷”、“科创贷”、“科票通”、“创业贷”、“惠农贷”、“易采贷”等10余种产品,为不同发展阶段的小微企业融资提供多种金融方案以及一站式金融服务,不遗余力支持企业成长发展。
    成都银行坚持“亲民便民惠民”理念,持续开办代发工资、社保和代收煤气水电费等与市民生活息息相关的基础金融业务,坚持优惠的定价和收费策略,至大限度降低银行卡用卡成本,提供高收益的理财产品,创新推出“E城通”综合缴费平台,积极推进互联网金融和社区银行建设,通过实实在在的行动让市民百姓享受到便捷实惠的金融服务,赢得了“市民银行”美誉。
    成都银行持续发挥地方性法人机构优势,将经营活动开展同社会责任履行紧密衔接、有机融合,全力推进改革创新,大力支持四川经济建设发展,切实提升金融服务质效,持续开展扶贫、助困等社会公益活动,不断在促进社会和谐进步等方面取得新成效,荣获“最具爱心企业奖”,彰显了西部领先城市商业银行的强烈责任担当和良好品牌形象。
    近年来,成都银行凭借优异的经营业绩和优质的金融服务,赢得了社会各界的高度赞誉,先后荣获“四川企业100强”、“最佳城市商业银行”、“最佳金融服务城商行”、“最佳优质服务银行”、“最佳民生金融奖”、“银行科技发展奖”、“最具社会责任金融机构奖”、“百姓最信得过的银行品牌”等荣誉称号。
主营业务:
    公司金融业务,民营小微业务,个人金融业务,同业投行业务
所属概念:
    HS300_,融资融券,上证380,沪股通,MSCI中国,富时罗素,标准普尔","按行业:
暂无数据
按产品:
暂无数据
按地区:
    成都: 89.73%
    其他地区: 10.27%",408.55 亿,估值中等,估值较高,估值中等,估值中等,估值中等,15.93,11.31,--,--,--,2021-04-29,0.3741219298360149,4.810010847397,12.0601088138,94.0215839028,3.713527851459,29.1385043885,13.9057651129,20.7657,7.2922,6.1344406613,14.2594481545,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:1.641667 预测市盈率:6.934591
2021 | 预测每股收益:1.870000 预测市盈率:6.044245
2022 | 预测每股收益:2.122727 预测市盈率:5.316710",2018-01-31
